,title,value
3502,house narrowly pass measure paving way for trump tax cut,1.0
1186,session panic cancel public testimony because he doesn t want to answer question about russia,0.0
3792,fcc head silent on trump comment about pulling broadcast license,1.0
1368,monica lewinsky wrote an obituary for roger ailes and it wa brutal,0.0
4401,trump tell congress get ready to do your job daca,1.0
1767,watch army vet wreck trump here s the real reason he gave general more control over bombing,0.0
687,chelsea clinton teach trump how to treat the white house with respect,0.0
4828,angry and inspired democrat train new wave of candidate,1.0
2243,breaking source reveal trump himself met with russian ambassador during campaign detail,0.0
2785,u s appeal court hears argument on trump travel ban,1.0
4721,senator grassley not expecting imminent supreme court vacancy,1.0
3494,twitter ban ad from two russian medium outlet cite election meddling,1.0
369,cnn host abruptly end segment after fox sport guest make disgusting trump like comment video,0.0
4806,u s vice president penny s hawkish tone on russia contrast with trump approach,1.0
509,trump supporter in phoenix just threatened john mccain s life,0.0
2046,breaking evidence trump colluded with russia is now more than circumstantial detail,0.0
53,trump s biggest kkk fan is back and he just loved those anti muslim tweet this morning,0.0
1525,top dems take action to keep document on russia investigation safe from trump,0.0
2403,gabby giffords shame gop rep for using her shooting a an excuse to hide from town hall,0.0
63,just back from a golfing vacay trump say he s done more than any president ever,0.0
2094,trump supporter threatens to slaughter black people because a guy wa mean to him on facebook video,0.0
2962,senate take step toward passage of tax bill vote likely this week,1.0
666,another fox host just got busted sexually harassing female staff,0.0
3279,democrat ralph northam win virginia governor s race medium,1.0
1734,voter prefer america s most hated airline over donald trump,0.0
1219,republican dine with trump then try to railroad comey into clearing him video,0.0
3215,u s senate confirms top epa air quality official despite concern,1.0
2618,senator elect jones not joining call for trump resignation,1.0
4802,white house considers lower deduction for u s homeowner politico,1.0
3153,a year after trump s election coal s future remains bleak,1.0
4907,trump 100 percent committed to take on tax reform in 2017 cohn,1.0
4286,epa chief denies icahn influence in biofuel regulation,1.0
4317,trump urge republican to start tax reform immediately twitter,1.0
4624,missouri lawmaker criticized after wishing for trump s assassination,1.0
4475,cfpb director evasive about possible resignation to run for ohio governor,1.0
1672,watch republican house oversight chair literally blamed obama for trump s michael flynn scandal,0.0
2389,neo nazi leader call depeche mode official band of alt right the band ha other idea,0.0
3902,trump denies tillerson threatened to resign twitter,1.0
3142,mcconnell say senate leader looking at all option on moore,1.0
2302,congressman tell trump he s in deep s t if wiretapping conspiracy is true and he s right detail,0.0
2681,u s house to stop using public fund for harassment settlement speaker,1.0
4536,trump to meet scandal hit malaysian leader in september,1.0
1149,report trump tried to pull his own saturday night massacre wh aide said hell no,0.0
154,former ambassador accuses trump of violating constitution every time a diplomat visit,0.0
186,milo yiannopoulos tell aussie to vote against marriage equality week after his own gay wedding,0.0
1336,state department official say trump acted like a drunk tourist in europe,0.0
4603,white house lawyer cobb predicts quick end to mueller probe,1.0
4908,n j governor chris christie accosts heckler in milwaukee,1.0
2735,u s house committee may reconsider who cancer agency fund,1.0
596,breaking it wa manafort who told gov about trump jr russian meeting and trump is coming for him,0.0
997,grandma will have to pay more than 20k a year for insurance under gop bill,0.0
4694,lighthizer say china intellectual property probe a high priority,1.0
1453,watch morning joe rip trump for leaking classified info to russian demand accountability,0.0
2270,watch even investigation obsessed gop rep jason chaffetz say trump ha no proof obama wiretapped him,0.0
73,watch retired alabama cop we were told to keep roy moore away from high school cheerleader,0.0
2020,watch hell freeze a fox news host call republican party a disgrace for being incapable of governing,0.0
164,how sh tty of a birthday must ivanka trump be having,0.0
1644,desperate for guest fox news o reilly replacement invite fabio on to bash liberal video,0.0
24,white house it wasn t sexist for trump to slut shame sen kirsten gillibrand video,0.0
3711,u s not taking side in iraqi kurdish dispute trump,1.0
1130,russian lobbyist blow jeff session story right out of the water,0.0
3632,some middle class american worry trump health subsidy cut will hurt,1.0
2501,u s military to accept transgender recruit on monday pentagon,1.0
2635,exclusive senator cruz want to cap renewable fuel credit at 10 cent document,1.0
4064,u s house republican speaker ryan opposes protest during anthem,1.0
1823,sean spicer claim hitler never gassed people in outrageous defense of syrian bombing video,0.0
3853,trump seek border wall crackdown on unaccompanied minor for dreamer deal,1.0
1987,paul ryan wa so desperate to pas failed trumpcare bill that he got on his knee to beg for vote,0.0
2115,sean hannity is a deranged maniac who pulled a gun on a coworker,0.0
2752,blackwater founder prince detail meeting with russian in seychelles,1.0
3143,senate republican ask moore to withdraw a new accuser step forward,1.0
114,sean hannity barely spends 6 second on last night s drubbing revisits trump victory instead,0.0
3727,north korea not ready to meet with south korea in russia agency,1.0
3445,trump say he is not looking to phase in corporate tax cut,1.0
1124,whoa ted nugent say he s changed his tune on violence after virginia shooting we have got to be civil,0.0
3014,trump refers to a pocahontas in congress at meeting with veteran,1.0
2574,tax bill s pas through rule will aid wealthy not worker critic,1.0
1208,oops conservative lose bigly in uk election after trump attack london mayor,0.0
349,racist charleston church shooter seems to think he is entitled to a literal white supremacist a his public defender,0.0
4766,south carolina seek 100 million from u s over plutonium removal,1.0
521,twitter ha absolute field day laughing at trump for blinding himself during eclipse,0.0
3168,u s house will reject total elimination of state and local tax deduction brady,1.0
4762,trump on twitter august 8 opioid crisis north korea,1.0
543,republican not willing to defend trump on air according to fox s shep smith,0.0
740,former cia chief blast trump s speech to boy scout like watching a dictator,0.0
3730,trump strike blow at iran nuclear deal in major u s policy shift,1.0
111,gop senate candidate turn out to be a disgusting child molester,0.0
1569,icymi snl skewer morning joe and it is hilarious,0.0
230,watch house dem ha had enough formally start impeachment proceeding against trump,0.0
4048,u s senate plan to vote on fcc chairman tenure this week,1.0
2614,republican confident tax bill to become law this week,1.0
452,matt damon just revealed a huge secret about how narcissistic trump really is,0.0
444,watch kellyanne conway s latest gushing about trump will make america vomit,0.0
3746,iran eu and russia defend nuclear deal after trump threat,1.0
1912,trump just got ripped apart after demanding clinton apologize for fake thing she didn t do tweet,0.0
232,white house confirms resident nazi stephen miller is an even bigger scumbag than you knew,0.0
3626,white house say rollback of obamacare must be part of short term fix,1.0
3067,trump and putin speak for an hour about syria ukraine north korea,1.0
677,the gun industry is hating trump and the gop and the reason why is hilarious,0.0
918,trump s team is so incompetent they couldn t even book a hotel room for g20 summit,0.0
1073,trump said he could easily end the bloodshed in chicago a new doj plan doesn t even mention it,0.0
3663,republican senator hatch reject bipartisan healthcare deal,1.0
3004,russian envoy to u s to inspect san francisco consulate ria,1.0
3300,two child sue over trump effort to roll back clean power plan,1.0
1989,breaking devin nunes is now the subject of a criminal complaint to the fbi,0.0
1097,watch medium critic tear megyn kelly apart for spreading alex jones virus to her viewer video,0.0
2910,flynn say cooperating with russia probe in best interest of u s,1.0
1160,trump boast about opening of first new coal mine of his presidency tweet,0.0
3017,california lawmaker resigns after medium report of sexual harassment,1.0
4952,factbox what is in the senate s skinny repeal healthcare bill,1.0
172,hillary hilariously rib fox host for their insane obsession with impeaching her video,0.0
3752,russia say trump s aggressive stance on iran doomed to fail,1.0
4466,trump tout tax reform overlook white house aide cohn,1.0
2679,trump say he would accept 21 percent corporate tax rate,1.0
1963,fox news just got slapped with a racial discrimination lawsuit and it s about damn time,0.0
1982,trump s deportation force storm unarmed legal resident s home and shoot him,0.0
1755,neo nazi sue trump for making him punch a black lady at a rally video,0.0
432,obama pen stunning response to trump s cold blooded move on daca trump fan should be ashamed,0.0
2202,elijah cummings warned mike penny that michael flynn wa lobbying for turkey month ago,0.0
1164,this historic lawsuit may finally expose trump s tax return,0.0
4247,trump say rich might pay more in tax talk with democrat,1.0
99,trump laugh after philippine leader call journalist spy in country where journalist are routinely murdered,0.0
3225,trump heap praise on very special xi in china visit,1.0
3810,trump vow tax plan to boost economy poll cite view on wealthy,1.0
3877,california ag pledge to defend birth control insurance coverage,1.0
2536,congress vote to avert shutdown sends trump stopgap spending bill,1.0
3058,house ethic panel investigating allegation against u s rep conyers,1.0
4780,moscow to cut dependence on u s payment system ria,1.0
1639,trump whine that fake medium won t report his nonexistent accomplishment get stomped tweet,0.0
1435,student at virginia university sings kill all n r wearing trump mask video,0.0
3603,trump considers fed s powell economist taylor to lead central bank,1.0
1806,republican compare lincoln to hitler this time it wasn t sean spicer,0.0
4606,what were ex trump adviser bannon s policy win and loss,1.0
2268,kellyanne conway make a fool of herself trying to defend trump s ridiculous attack on obama video,0.0
30,breaking cop finally get his due walter scott s killer sentenced to prison detail,0.0
4561,white house say some member of infrastructure advisory council resign,1.0
3656,u s judge will likely rule next week on healthcare payment,1.0
4233,u s extends some iran sanction relief under nuclear deal,1.0
2868,mcconnell say u s government shutdown over daca ridiculous,1.0
1502,breaking fbi agent say white house will kill russian investigation,0.0
3358,u s draft u n resolution seek extension of syria chemical probe,1.0
1948,trump threatens to change libel law to sue people who criticize him in twitter meltdown,0.0
333,scaramucci tv appearance go off the rail a show brings special guest to mock him video,0.0
2610,trump defends tax plan a great christmas gift to middle class,1.0
735,trump s approval rating take game changing turn in 11 pro trump state detail,0.0
2037,reeking of desperation trump sends out poll asking his follower to prove they love him,0.0
1776,donald trump jr tweet unintentionally humiliating photo block people who mock him,0.0
1136,trump still isn t convinced russia interfered in our election despite all the evidence,0.0
2519,treasury secretary mnuchin wa sent gift wrapped box of horse manure report,1.0
1641,team trump knew flynn broke the law and hired him anyway detail,0.0
2900,kushner told flynn to contact russian last year nbc news,1.0
264,trump s irs just decided they re going to give all your info to equifax after they got hacked,0.0
1890,trump furious a latest obamacare number prove it s not going anywhere image,0.0
2449,mike penny break silence responds to being misled by trump team and flynn video,0.0
3927,justice department name new acting head of drug enforcement agency,1.0
1557,trump just had a massive meltdown over sally yates and everyone is laughing at him tweet,0.0
2999,factbox from tax to budget u s congress s calendar tightens,1.0
2838,in slap at romney trump say he want hatch to run for re election,1.0
2713,judge tell ex trump adviser manafort to stop communicating with medium,1.0
4824,exclusive grand jury subpoena issued in relation to russian lawyer trump jr meeting source,1.0
4961,house leader say willing to do conference committee on healthcare,1.0
3323,democratic leader vow fair nomination process in 2020 after uproar,1.0
1800,gop pundit compared trump s healthcare disaster to martin luther king jr he quickly regretted it video,0.0
3473,manafort ex associate face charge in u s russia probe report,1.0
4302,republican attempt to deflect trump russia probe could backfire source,1.0
1436,exposed trump staffer feed him a steady diet of fake news detail,0.0
654,it took a democratic governor to finally call the mosque bombing terrorism,0.0
3993,california wisconsin deny election system targeted by russian hacker,1.0
4060,ex n y state senate leader s corruption conviction vacated face retrial,1.0
1998,kremlin threatens trump stop leaking like a colander or we ll release info,0.0
3900,trump to keep obama rule curbing corporate tax inversion deal,1.0
739,apparently trump is sad he ha no eric holder,0.0
2308,donald trump just got humiliated by the dictionary again and it s f cking epic tweet,0.0
3572,trump in tax meeting amid fight with republican senator,1.0
243,one of trump s very fine people extradited to charlottesville after brutal assault,0.0
3594,top senate republican white house aim for tax bill by year end,1.0
1979,donald trump panic over russia and fire off two bizarre tweet twitter crush him tweet,0.0
3716,republican u s senator cochran postpones return to washington,1.0
4177,venture capitalist sue trump admin over foreign entrepreneur rule delay,1.0
2762,house approves stop gap government funding bill,1.0
4590,leading democrat critic cannot conclude trump is impaired,1.0
2427,ivanka trump s business get slapped with a lien for owing over 5 000 in unpaid tax,0.0
112,senate democrat have been sneaking around behind gop s back to unravel trump administration,0.0
1904,trump voter panicking after realizing border wall will put her house in mexico video,0.0
209,the fake melania trump conspiracy theory is taking the internet by storm and it s everything,0.0
1783,white grievance princess tomi lahren whine about getting fired and i could watch it all day video,0.0
4266,ryan urge daca fix with broader immigration reform ap,1.0
4530,white house call trump s relationship with republican lawmaker fine,1.0
98,oops trump judicial nominee didn t tell congress about marriage to white house attorney,0.0
3545,white house want congress to boost disaster aid cut spending elsewhere,1.0
4373,trump lawmaker agree on disaster aid debt limit spending democrat,1.0
78,trump s national security adviser reportedly trashed him this is epic,0.0
2033,photo of gop meeting to kill maternity care go viral after people notice totally offensive detail,0.0
2778,franken to make 11 45 a m announcement after harassment accusation,1.0
4876,senate plan september hearing on health insurance market,1.0
2893,republican senator corker say cannot support senate tax bill,1.0
290,neo nazi website loses it domain again and it nazi owner is losing his damn mind,0.0
4791,factbox what do the new u s sanction on russia target,1.0
867,dem senator on trump world they lie a easily a they breathe video,0.0
3544,rubio say tax bill likely to include expanded child credit,1.0
4274,u s corporate tax cut goal in doubt trump dines with senator,1.0
316,republican governor helped kill 11 elderly people by deleting their message begging for help,0.0
1266,white supremacist goper s democratic opponent receives so many death threat that she quits,0.0
551,former u labor secretary ha dire warning trump is trying to start a civil war,0.0
2555,u s responds in court fight over illegal indonesian immigrant,1.0
4329,u s consumer agency defends student loan reform from republican attack,1.0
1153,snowflake trump demand an apology from the medium and the internet laugh at him,0.0
4646,tillerson simply no place for hate and violence in u s public discourse,1.0
945,chris christie take his family to closed beach give voter giant trump style f ck you,0.0
1120,russia claim they may have killed isi leader al baghdadi,0.0
4175,hedge fund manager shuts firm to explore run for connecticut governor,1.0
146,one hero made donald trump panic and made twitter celebrate detail,0.0
4116,trump south korea s moon agree to boost defense white house,1.0
1801,is nothing sacred ivanka trump s passover family photo ha been exposed a a fake,0.0
3171,investigator probe trump knowledge of campaign s russia dealing source,1.0
2084,breaking comey just shut down trump s tweeted lie in real time during hearing video,0.0
3945,after la vega massacre democrat urge gun law republican silent,1.0
4346,house conservative group line up against trump deal on debt spending,1.0
4095,trump take center stage in fractious senate race in alabama,1.0
2371,trump whine about his obamacare replacement give the most pathetic reason why it suck video,0.0
227,puerto rico s governor pleads for help after trump threatens to abandon recovery effort,0.0
1437,a reporter asked paul ryan if he still ha confidence in trump he ran away video,0.0
2595,house panel chair introduces 81 billion disaster aid bill,1.0
223,hustler owner is so fed up with trump that he is offering 10 mill for dirt to get him impeached,0.0
2718,factbox woman who have accused trump of inappropriate conduct,1.0
3643,u s house member ask epa not to lower biofuels requirement,1.0
4353,trump his party an american odd couple,1.0
1617,trump ha crazy meltdown on face the nation end interview in the most cowardly way video,0.0
1957,trump s approval rating make shocking change with his own supporter image,0.0
2259,trump presidency implodes a 17 top white house official betray him in explosive report detail,0.0
3822,nfl owner to mull anthem rule a trump ups protest criticism,1.0
4996,any u s military transgender ban could face major legal challenge,1.0
774,carrier employee speaks out on trump he blew smoke up our a e,0.0
2040,watch mccain scorch his own party s sham investigation say congress is not credible in russia probe,0.0
1181,the very scary reason trump s evangelicals don t care about cut to program for those in need,0.0
1388,watch fox news host furiously directs staff to stop video of trump s embarrassing curtsy to saudi king,0.0
1152,nba champion give trump the finger with spectacular unanimous team decision,0.0
1484,chris wallace just shoved his foot so far up trump s as it came out his mouth video,0.0
3873,aclu sue trump administration over birth control policy,1.0
42,leaked email prof trump official aware russia had thrown the usa election to trump,0.0
689,auntie maxine water showdown in senate inspires gospel anthem for the silenced,0.0
898,donald trump tweet he is ready to hand putin the key to our electoral system,0.0
2127,trump s hhs secretary argues that insurer should be able to charge sick people more video,0.0
4163,attorney general session step up anti sanctuary rhetoric after setback,1.0
3652,u s say hold myanmar military leader accountable in rohingya crisis,1.0
1450,pay bribe here projected on trump hotel,0.0
4148,in rare public speech obama decries republican healthcare bill,1.0
3967,u s civil liberty group to challenge trump s new travel ban,1.0
1189,trump get laughed off twitter after saying comey s illegal leak will be prevalent tweet,0.0
1442,trump s leak to russia may well have put individual life in serious danger,0.0
4208,defying trump california lawmaker vote to become sanctuary state,1.0
2309,sean hannity just showed exactly how delusional conservative are in a single statement,0.0
4143,australian woman go pro on back of investment boom,1.0
2051,donald trump jr post disgusting lie about london s muslim mayor minute after london terror attack,0.0
887,fox news give the most cringeworthy reason why ivanka deserved to sit in at g20 video,0.0
311,the only pittsburgh steeler to stand for national anthem speaks out and trump fan will hate it,0.0
3313,special counsel mueller ha enough evidence to charge flynn son nbc,1.0
2174,sean spicer just got caught on camera saying something horrifyingly racist video,0.0
1063,dem challenger to paul ryan ha raised a massive amount of money in the last 24 hour,0.0
3421,house budget committee chair tax bill to be released early thursday,1.0
4134,nuclear weapon will not bring security for north korea tillerson,1.0
2788,senate vote to pursue tax bill negotiation with house,1.0
3826,trump s ex adviser carter page will not testify in russia probe politico,1.0
2291,ny daily news run most explosive trump cover yet say what we re all thinking image,0.0
795,new kushner lied about million in asset on disclosure form over 70 item discovered missing,0.0
1205,donald trump just totally melted down on live television video,0.0
615,trump brag about how powerful america s nuclear arsenal is in scary twitter post,0.0
897,donald trump may have already stolen the next election,0.0
2282,watch former director of national intelligence shred trump claim that obama wiretapped him,0.0
4162,republican senator corker toomey reach deal on budget resolution,1.0
1977,cnn guest s face after trump flack blatantly lie about obama golfing is all of u right now video,0.0
463,w h admits trump lied never witnessed horror and devastation caused by harvey first hand,0.0
4697,al gore say trump driving not weakening climate change momentum,1.0
1902,woman torch ivanka trump for celebrating equal pay day after her dad revers equal pay protection,0.0
3974,u s doe not recognize kurdish independence vote in iraq tillerson,1.0
4240,senate republican leader say daca should be part of border security discussion,1.0
1611,grow the f ck up trump get taken to the woodshed after calling for a government shutdown,0.0
2953,factbox trump on twitter nov 30 nytimes,1.0
2004,trump staff hang absurdly offensive abraham lincoln banner in mar a lago dining room,0.0
999,a fed up reporter just stood up to sarah huckabee a she wa smearing the free press video,0.0
1835,wife of arrested russian hacker just spoke out and trump is shaking in his boot,0.0
4842,trump admin willing to work with congress on war authorization lawmaker,1.0
3760,israeli minister say trump speech may start war with iran,1.0
1834,what republican are doing to stop people from voting is a dirty a it get,0.0
2330,president obama to receive distinguished profile in courage award,0.0
2895,timeline u s prosecutor lay out flynn s dealing with russian ambassador,1.0
929,gop just demanded hillary clinton give them a plan to fix healthcare and got roasted alive tweet,0.0
2113,painfully stupid trump fan thanks god and trumpcare for her lower healthcare cost under obamacare,0.0
4825,senate approves five treasury nominee,1.0
980,trump go on insane rant about female news anchor bleeding here s her response tweet,0.0
3707,trump declares obamacare dead urge democratic help for short term fix,1.0
3320,multinationals grapple with republican excise tax surprise,1.0
4178,former white house aide gorka join pro trump campaign group,1.0
453,very suspicious smoke is billowing out of closing russian consulate,0.0
104,watch christian right founder condemns them for supporting nazi and sexual misconduct,0.0
2306,watch trump s top cheerleader on cnn just got his a handed to him,0.0
3365,u s judge order former trump aide to stay under home arrest,1.0
656,al gore tell bill maher get rid of electoral college time for a popular vote,0.0
2088,trump s approval rating tank to the lowest level of any president s first 60 day,0.0
3691,trump favor ex pharma executive azar for health secretary politico,1.0
618,george takei s latest twitter poem roast trump s idiotic north korea statement to perfection tweet,0.0
3424,trump say current fed chair yellen is excellent,1.0
92,watch corporate ceo shock trump s economic adviser with truth about gop tax cut,0.0
4601,trump dump controversial chief strategist bannon in latest upheaval,1.0
960,here s how much trump is paying omarosa kellyanne conway and sean spicer to lie for him each day,0.0
4799,illinois fight potential hike in disabled care funding,1.0
808,gop billionaire issue harsh message to congress impeach or i m done,0.0
3888,trump opponent urge u s supreme court to rule on travel ban,1.0
313,fox news just proved trump is using fake video to try to start war with iran,0.0
3234,xi say china to be more open transparent to foreign company including america s,1.0
1757,trump just called a fledgling dictator to congratulate him on expanding his power,0.0
3495,house panel seek document on puerto rico utility deal,1.0
1371,it s already happening dapl spews oil from multiple leak a construction continues,0.0
4045,u s sec chair grilled by senate panel over cyber breach equifax,1.0
4092,wisconsin ohio california among state targeted by russian hacker in 2016 race,1.0
4631,apple s cook say he disagrees with trump vow donation to right group,1.0
1215,gop columnist bill kristol ha the good on how republican really feel about comey s testimony,0.0
3972,u s visa to six muslim nation drop after supreme court back travel ban,1.0
982,trump hesitant to negotiate with schumer on health care because he s not a serious person,0.0
138,former watergate prosecutor mueller could gag trump on russia,0.0
4470,financial firm fear turmoil over fraught u s debt ceiling talk,1.0
3925,warren buffett larry fink criticize trump tax plan,1.0
2189,trump s weekend jaunt to florida are putting the u s in grave danger,0.0
565,cnn reporter just asked trump the one question we ve all wanted to hear video,0.0
486,donald trump wa looking to build a trump tower in moscow while he wa running for president,0.0
4080,new jersey mayor resigns after admitting corruption charge,1.0
2573,white house aide see temporary funding fix for child s health program,1.0
616,10 reason donald trump and kim jong un are basically the same person,0.0
3487,president trump leaning toward powell a next fed chair source,1.0
3910,u s house committee examining barrier to puerto rico recovery official,1.0
2890,kushner former trump adviser mcfarland spoke with flynn about russia contact cnn,1.0
3742,rouhani say iran will stay in nuclear deal only if it serf interest tv,1.0
1291,trump hold pittsburgh not paris rally in d c after being told pittsburgh voted hillary video,0.0
3321,trump back new york in bourse battle for saudi aramco listing,1.0
2442,these country just stood up for woman s right and spat in trump s face detail,0.0
1260,london mayor demand uk cancel trump s state visit after his deranged post attack meltdown,0.0
1125,mike penny indicates that he ll soon be in the russian hot seat,0.0
3737,factbox some trump assertion on iran questioned by expert,1.0
3413,next u s disaster aid approval likely in december senator cornyn,1.0
2559,u s tax bill may face lawsuit with long odds but political payoff,1.0
792,russian lawyer willing to testify in front of the senate only if given safety,0.0
4615,decision on whether trump adviser bannon keep his job is imminent axios,1.0
2075,fbi investigating russian connection to far right website including breitbart infowars etc detail,0.0
2025,watch trump s head will explode with rage when he hears what lawrence o donnell said about him,0.0
794,gop senator drop bombshell house intel chair spread fake news about surveillance to help trump,0.0
3882,white house chief of staff s personal cellphone compromised politico,1.0
4213,in mexico visit trump s defense chief talk trust respect,1.0
1099,obama show trump what a classy father s day message look like after trump s twitter meltdown,0.0
3531,trump decline to say if he will visit korean dmz on asia trip,1.0
193,watch john mccain mock president bone spur over his draft deferment,0.0
771,republican official caught exposing himself attack police officer,0.0
2393,watch sean spicer in december strongly opposed exactly what he did today,0.0
631,victim of terrorist attack question lack of presidential support,0.0
1535,mcconnell say he ll obstruct any effort to hire independent special prosecutor,0.0
3571,u s weighs calling myanmar s rohingya crisis ethnic cleansing,1.0
1737,patriot white house group photo sure to infuriate trump after obama comparison surface,0.0
3034,exclusive u s consumer finance agency lawyer side with trump over succession source,1.0
3664,trump to announce fed chair decision in coming day white house,1.0
330,trump insult john mccain for refusing to strip healthcare from million of american,0.0
3999,white house s cohn say now see more than 3 percent growth to pay for tax plan,1.0
1666,trump set up an alien crime hotline and it went exactly like you re thinking right now tweet,0.0
2169,new york time columnist blast parasite trump s first 50 day in office,0.0
881,world leader decide they don t need the u s to move forward on climate change,0.0
4194,democrat push for full analysis of latest republican healthcare bill,1.0
2227,bill o reilly make sexist attack on andrea mitchell her response wa perfect video,0.0
1150,session too intimidated to answer harris s hot question at hearing so she scorch him on twitter detail,0.0
2628,trump official brief hill staff on saudi reactor enrichment a worry,1.0
3020,white house denies trump made slur with pocahontas remark,1.0
3907,u s senate panel put self driving car in fast lane,1.0
483,the unbelievable reason trump pardoned arpaio a hurricane harvey wa bearing down,0.0
3389,trump campaign adviser clovis withdraws from consideration for administration post,1.0
1212,paul ryan claim gop wouldn t try to have democrat facing similar charge to trump impeached,0.0
1340,germany s merkel issue dire warning to europe america is no longer to be trusted detail,0.0
4138,eu official reach draft deal on more north korea sanction source,1.0
139,gop lawmaker link abortion to the economy in one bizarre and horribly offensive rant video,0.0
2921,trump tap fifth third lawyer mcwilliams to lead fdic,1.0
1030,joe biden is back savage the gop s deadly healthcare bill in brutal tweetstorm,0.0
4636,trump s virginia comment last straw for disenchanted ceo,1.0
3950,a cell signal an open bar tiny win for puerto rico in ruin,1.0
389,white supremacist marine kicked out of the corp after being busted doing nazi stuff,0.0
2487,just in trump knew about flynn s call with russian ambassador tried to cover it up,0.0
2547,u s launch effort to reduce reliance on import or critical mineral,1.0
955,msnbc producer reminds idiot trump that morning joe s rating are setting record high tweet,0.0
970,gop operative connected to trump s ousted top adviser tried obtaining russian hacked clinton email,0.0
4692,texas bathroom bill stall in special legislative session,1.0
1358,wh source reince priebus is sh tting his pant over comey memo,0.0
4768,trump administration switch side back ohio over voter purge,1.0
3579,tillerson urge iraq kurd to resolve conflict through dialogue,1.0
4276,key u s senator reach deal on funding child s health program,1.0
2140,whoa trump state campaign chair busted shacking up in hotel room with underage boy,0.0
3964,white house crack down on use of charter plane by official,1.0
1441,chaffetz say congress need to see comey memo on trump now i have my subpoena pen ready,0.0
3249,michigan senator urge congress to retain electric car tax credit,1.0
1132,republican go rogue blame trump for baseball game attack on gop video,0.0
554,obama tweet make history and trump will hate the reason why,0.0
408,another pervert out at fox news over allegation of sexual harassment,0.0
147,sarah huckabee sander shredded by l a time for truth twisting this is brilliant,0.0
195,nursing textbook recalled and apology issued for racial stereotype related to pain management,0.0
539,chamber of commerce exec make trump pay for charlottesville urge charity to boycott mar a lago,0.0
1256,four top law firm refuse to represent deadbeat trump in russia probe,0.0
3499,mattis visit seoul for defense talk a tension climb,1.0
3263,commerce secretary say trump xi talk will address trade imbalance,1.0
3736,advocate for american held in iran worried by trump s hard line,1.0
683,mccain just brutally called out trump for his hypocritical support of russia,0.0
3076,u s judge in california block trump s order on sanctuary city,1.0
679,top republican trash trump s immigration proposal gop in piece tweet,0.0
3740,pentagon identifying new area to pressure iran reviewing plan,1.0
3154,trump skip east asia leader summit sends tillerson instead,1.0
3073,white house asks supreme court to allow full travel ban,1.0
1148,nutjob missouri state rep beheads live chicken on facebook video to make point about abortion,0.0
4971,senate to vote on russia sanction bill later on thursday,1.0
319,zuckerberg wa personally warned about russian meddling by obama and he completely blew it off,0.0
2522,trump travel ban should not apply to people with strong u s tie court,1.0
2946,u s house democratic leader pelosi say conyers should resign,1.0
547,trump double down via the law move to protect white supremacist from law enforcement,0.0
1294,lawmaker want answer about jared kushner s huge debt and meeting with russian banker,0.0
1140,confirmed special counsel mueller is actually investigating donald trump,0.0
4650,u s court rule arkansas can block planned parenthood funding,1.0
12,bad news for trump mitch mcconnell say no to repealing obamacare in 2018,0.0
1197,the internet can t stop laughing at sarah huckabee sander dumbass tweet screenshots,0.0
4612,romania negotiating to buy u s rocket system worth 1 25 billion pentagon,1.0
