,title,value
8997,trump to order a study on abuse of u s trade agreement,1.0
8784,tillerson trump did not discus source method in meeting with russia s lavrov,1.0
3466,dear america we tried to warn you,0.0
5743,democrat working on independent russia probe,1.0
553,mitch mcconnell take aim at trump for praising nazi,0.0
9903,oklahoma lawmaker found with boy in motel charged with prostitution,1.0
4606,jimmy fallon tested donald trump s hair and it wa just gross video,0.0
4769,watch pipeline company attack indigenous protester with dog and pepper spray,0.0
8657,exclusive trump epa transition chief lament slow progress in killing green rule,1.0
8388,trump will not block ex fbi chief comey s testimony white house,1.0
2837,disgusted republican unable to reach unhinged trump forced to tweet their complaint at him image,0.0
512,trump told more than a thousand documented lie in only seven month detail,0.0
6414,trump nominee clear senate hurdle to join federal reserve,1.0
8345,u s senate advance iran sanction bill eye new russia sanction,1.0
5353,top democrat in congress accept trump offer to meet on year end priority,1.0
8586,treasury chief say reviewing iran s aircraft license,1.0
5889,trump campaign adviser clovis withdraws from consideration for administration post,1.0
1149,report trump tried to pull his own saturday night massacre wh aide said hell no,0.0
6954,factbox trump s conflicting view on obama dreamer policy,1.0
549,top republican grows a backbone after charlottesville blame trump for dividing america image,0.0
4336,asian american organization rain hell upon fox news for racist chinatown segment,0.0
5552,u s hope to pressure myanmar to permit rohingya repatriation,1.0
7256,bush era ftc official is trump favorite for chief source,1.0
9926,tillerson underline cooperation with japan seoul on north korea,1.0
1567,france reject far right fascist in landslide victory for democracy detail,0.0
5908,trump doe not recall suggestion of putin meeting white house,1.0
293,gop senator just smacked down the most punchable alt right nazi on the internet,0.0
139,gop lawmaker link abortion to the economy in one bizarre and horribly offensive rant video,0.0
5206,trump will announce new u s security strategy on monday adviser,1.0
7360,court allows democratic state to defend obamacare payment,1.0
8906,trump australia s turnbull move to clear air after tense phone call,1.0
3970,trump loving oklahoma gop rep busted calling for hillary clinton s murder screenshots,0.0
7620,special counsel asks white house to save trump jr russian meeting document,1.0
6092,trump say will decide on federal reserve chair very shortly,1.0
1941,noam chomsky warns of staged terrorist attack if enough people turn on trump,0.0
4267,breaking new poll show huge lead for hillary a trump s downward spiral continues,0.0
8142,cuban say crestfallen that trump rolling back detente,1.0
5450,senator collins say not committed to tax bill concerned about salt,1.0
2661,sean spicer whine that snl wa mean to him and demand they mock him le,0.0
6611,factbox trump on twitter sept 22 north korea ad on facebook luther strange,1.0
8180,illinois governor order special session to break budget impasse,1.0
7803,russia s lavrov show me at least one fact moscow meddled in u s election,1.0
2562,trump attack mark cuban in bizarre tweet that everyone is humiliating him for right now,0.0
437,watch cnn majorly f cks up ha white supremacist weigh in on daca panel,0.0
9212,illinois bill would ban passenger removal after ual incident,1.0
2853,protest group put giant sign on crane next to white house trump s gonna lose his mind image,0.0
6865,house speaker ryan say daca fix border security need to be linked,1.0
8663,melania trump hail empowerment of woman at saudi company visit,1.0
7241,trump declares national emergency on opioid abuse,1.0
5599,woman accuses senator al franken of unwanted groping kiss,1.0
4264,breaking trump campaign caught paying off hillary hating sexual assault victim detail,0.0
4554,trump s latest campaign promise may be his most horrible one yet,0.0
4472,howard dean roast trump over debate sniffle coke user tweet,0.0
1499,trump ignores historically low rating brag he could win election by a lot more now video,0.0
5534,exclusive u s consumer finance agency lawyer side with trump over succession source,1.0
2459,republican attack nasa for trying to save earth instead of putting space first,0.0
8319,text ex fbi director comey s prepared testimony to senate panel,1.0
4006,trump supporter caught making anti semitic chant at official rally video,0.0
3349,watch fox panel pretend republican never treated the obama family like sh t,0.0
6976,a texan claim pour in congress mull flood insurance program s future,1.0
9995,u s agriculture secretary nominee submits ethic disclosure,1.0
1458,reporter in press room can hear screaming from trump staff office nearby livetweet meltdown,0.0
70,ivanka defends malia obama from attack her dad s fan won t stop she look like a baboon,0.0
5052,u s tax plan roils popular bet in bond market,1.0
7053,trump voice mild optimism about tie with north korea,1.0
731,watch scaramucci flip out over white house leak sends ominous warning to reince priebus,0.0
3939,obama just showed u exactly how to handle trump fan video,0.0
1452,keith olbermann lash out at trump for whining about leak with one perfect tweet,0.0
9583,senate banking chair want financial rule reform by early 2018,1.0
6816,republican see tax reform complicated by trump deal with democrat,1.0
5561,u s house ethic panel investigating allegation against rep conyers,1.0
4516,penny say there is too much talk about racism in policing and institutional bias,0.0
7413,outside adviser to trump call for firing of cfpb head cordray,1.0
8561,fbi director search back to drawing board for trump team,1.0
1039,trump invite friend who called for hillary to be shot to hang out take seflies in white house,0.0
3405,a former cia chief just said trump will be held responsible for new terror attack detail,0.0
1600,comey just laid out the two reason putin supported trump over clinton and both are damning video,0.0
4046,richard branson trump came to me broke and vowing revenge on those who wouldn t give him money,0.0
6989,epa inspector general to investigate agency chief s travel to oklahoma,1.0
5065,senator cornyn trying to get big corn behind u s biofuels reform,1.0
6630,white house seen easing limit on drone strike ny time,1.0
3957,watch fox anchor forced to admit he lied about a likely clinton indictment,0.0
4416,virginia school ha black kid arrested for drinking milk,0.0
5842,brady to offer substantive u s tax bill amendment on monday statement,1.0
1290,sean hannity is totally butthurt over this onion picture,0.0
9465,window closing for republican stealth assault on u s regulation,1.0
1577,mike huckabee post super racist cinco de mayo tweet america responds perfectly,0.0
3760,trump fan protest starbucks and twitter laugh hysterically at their glaring mistake tweet,0.0
9955,trump paid 38 million in tax in 2005 white house,1.0
3593,trump just caused a diplomatic crisis with china because he want to build a resort in taiwan,0.0
3020,civil right icon drop mic on incoming trump presidency trump sure to attack video,0.0
372,watch viral video of tomi lahren being called a racist piece of sh t to her face,0.0
8356,trump to give remark on healthcare at 12 55 p m 1655 gmt white house,1.0
2731,trump just threw appalling temper tantrum at some of our closest ally on the phone,0.0
8320,comey account could fuel obstruction accusation against trump legal expert,1.0
4727,trump insists his mexico trip wa successful for the most absurd reason ever,0.0
2599,trump throw all cap tantrum after appeal court s unanimous decision to shut down muslim ban tweet,0.0
896,american were asked by a poll to pick one word to describe trump and the result will enrage him,0.0
48,this hilarious campaign ad show voter how they can avoid scandalous elected official,0.0
704,watch trump really doe think he s on a west wing edition of the apprentice,0.0
2754,watch ellen degeneres cleverly us finding dory to teach trump that wall don t work,0.0
6615,what is a dotard anyway kim s insult to trump,1.0
9630,trump to offer federal coal to industry awash in reserve,1.0
5386,flynn kushner targeted several state in failed u n lobbying diplomat,1.0
4028,uncovered video trump make creepiest comment yet about his daughter video,0.0
2117,federal judge blow lid off trump s biggest complaint about obamacare,0.0
8614,in u s presidential first trump prays at jerusalem s western wall,1.0
4677,bakari seller not all trump supporter are bigot but they support one video,0.0
2362,the white house s attack on the medium just got very personal and illegal,0.0
7480,white house say making a lot of progress on tax reform,1.0
9570,u s judge view 25 million trump university settlement favorably,1.0
9595,senate tax chief see room for repealing obamacare levy in tax reform drive,1.0
329,trump s making it harder to sign up for obamacare on purpose even if the gop doesn t pas anything,0.0
8113,russia iran sanction bill hit roadblock in u s house,1.0
9658,tillerson will not meet turkey opposition in ankara visit this week,1.0
2868,just day in trump administration ready to dump top staffer,0.0
3703,breaking evidence trump cheated lead to massive move for three state audit,0.0
9083,former trump adviser flynn likely broke law with russia trip lawmaker,1.0
3053,man claim he gave trump a golden shower and he ha evidence to back it up video,0.0
2248,prominent attorney and law professor point out that trump can be impeached for false accusation against obama,0.0
5152,u s tax bill to preserve key renewable energy credit source say,1.0
7883,congress must shore up insurance market if obamacare repeal fails mcconnell,1.0
9987,white house reject report critical of republican health plan,1.0
4108,watch carol costello humiliates trump supporter for whining about mythical voter fraud,0.0
5460,trump nominates marvin goodfriend for fed governor post,1.0
3023,new lady liberty is a black woman and conservative absolutely lose their sh t over her tweet,0.0
753,donald trump whine swears and talk cocktail party in a speech to child,0.0
1642,golf addicted 70 year old man say he couldn t care le about golf,0.0
3723,trump erupts at secret meeting with the press transition in chaos tweet,0.0
847,fox host go after soulless hillary clinton chelsea s response is priceless tweet,0.0
6828,moderate republican u s congressman dent will not seek re election,1.0
6608,senator mccain to vote against obamacare repeal statement,1.0
4574,jan brewer there were birther democrat all over the country video,0.0
7754,mexico industry eye nafta change to find common ground with trump,1.0
7611,eu sound alarm urge u s to coordinate on russia sanction,1.0
4965,louisiana flood relief worker rip donald trump for doing nothing to help victim,0.0
7383,factbox trump on twitter aug 1 stock market fake medium,1.0
4668,veteran doesn t want your thanks he want you to vote for hillary,0.0
3827,report civil right group say voter suppression is responsible for trump s win,0.0
8685,trump said firing comey relieved great pressure new york time,1.0
5332,eu warns trump against recognizing jerusalem a israeli capital,1.0
9836,republican revamp u s health bill boost benefit to older american,1.0
7685,trump to nominate huntsman a russia ambassador white house,1.0
4042,trump supporter threatens megyn kelly for putting newt gingrich in his place,0.0
1369,fox news staffer call sean hannity massive embarrassment are we still airing that sh t,0.0
4363,mike penny viciously refused to pardon black man wrongfully imprisoned for 10 year,0.0
1997,trump accidentally make democrat look great during angry tirade about his failed healthcare bill,0.0
457,psycho cop drag handcuffed nurse from hospital for not letting him violate patient s right,0.0
9068,trump proposes 15 percent business tax rate white house summary,1.0
8705,u s senator seek lifetime ban on ex congress member lobbying,1.0
1027,donald trump jr throw massive hissy fit over johnny depp s bad joke,0.0
9405,russia call for emergency u n meeting after u s strike on syria,1.0
2465,chelsea clinton just lit trump on fire over his stupid swedish massacre claim tweet,0.0
5464,tax trigger idea for senate tax bill swiftly draw critic,1.0
7647,trump administration s nafta demand make sense union pacific ceo,1.0
8717,trump ex adviser flynn yet to indicate whether he will honor subpoena senator,1.0
6508,trump proposes u s tax overhaul stir concern on deficit,1.0
6387,republican move on tax reform fed official see economic threat,1.0
6626,china call for restraint when asked about north korea hydrogen bomb threat,1.0
8764,trump s defense chief on intelligence uproar i m not worried,1.0
9940,trump suggests more information coming about wiretap claim fox news interview,1.0
8397,deutsche bank asks for more time for u s query on trump russia source,1.0
4963,major scientific magazine s editorial board just blasted trump s lack of respect for science,0.0
350,trump just became first president in modern history to use campaign fund for criminal defense,0.0
9632,house intel panel chief nunes say he will not divulge his source,1.0
6174,factbox who will trump pick to lead the federal reserve,1.0
6849,senate panel advance nomination of quarles to fed board,1.0
5218,factbox woman who have accused trump of inappropriate conduct,1.0
3522,trump i couldn t have divided america because i m not president yet video,0.0
3478,russia hacked the republican national committee too but chose not to release gop data,0.0
8087,republican propose bill to privatize u s air traffic control,1.0
5082,senate parliamentarian rule against tax bill provision sander,1.0
1848,former gop rep think adam schiff should recuse himself from russia probe too because reason,0.0
8629,factbox key point of trump s 2018 budget proposal,1.0
487,eric holder just hilariously called trump out on arpaio obama never asked me to drop a case,0.0
6260,israeli minister say trump speech may start war with iran,1.0
1530,trump explains why he fired james comey f cks up and admits he should be impeached video,0.0
7070,fully committed nato back new u s approach on afghanistan,1.0
2681,watch melissa mccarthy add to snl s trump admin ridicule in glorious sean spicer spoof,0.0
5445,senate tax bill stall on deficit focused trigger,1.0
737,trump attack session again for not helping him obstruct russia investigation,0.0
9536,highlight the trump presidency on march 31 at 6 19 p m edt,1.0
8139,representative scalise s condition upgraded to serious after shooting,1.0
1839,alec baldwin make bombshell announcement that s going to enrage trump,0.0
9809,ex u s attorney bharara fired by trump join nyu law school,1.0
7871,u s isolated on climate at summit of world leader,1.0
9484,senate leader say ha enough vote to change rule ok gorsuch,1.0
9841,supreme court reject u s senator s bid to escape corruption case,1.0
8702,democratic senator tussle with u s treasury secretary over communication,1.0
1594,watch democratic rep delivers scathing rebuke of trumpcare bill to thunderous applause on house floor,0.0
6322,nfl owner to mull anthem rule a trump ups protest criticism,1.0
5491,factbox republican senator to watch in tax bill fight,1.0
4409,hillary clinton mock donald trump with an amazing tweetstorm at 3 am,0.0
3600,top trump minion call for imprisoning the editor of the new york time,0.0
7679,trump to republican senator do not leave town until pas healthcare legislation,1.0
5431,ex twitter worker claim responsibility for trump s account shutdown,1.0
6285,trump met stanford s john taylor in fed chair search official,1.0
1046,watch justin trudeau ha the perfect response to trump s idiotic tweet,0.0
9217,japan u s did not discus currency in economic talk government official,1.0
9828,highlight the trump presidency on march 20 at 9 20 p m edt,1.0
8219,supreme court give trump more time to file travel ban brief,1.0
642,average trump cabinet member stand to profit by hundred of thousand from tax reform,0.0
1495,lawyer trump used to prove he ha no russia connection won russia law firm of the year in 2016,0.0
7724,threatening note left at senator s office amid healthcare debate,1.0
7630,lawsuit say north carolina bathroom law still harmful,1.0
4414,watch a trump admits he thought paris hilton wa hot when she wa 12 video,0.0
1345,trump s team just found a new way to babysit him this is a new low detail,0.0
8132,cuba call trump speech on island grotesque spectacle,1.0
335,breaking john mccain break with his best senate friend will vote no on graham cassidy deathcare bill video,0.0
323,watch trump s treasury sec steve mnuchin say nfl player have no right to free speech,0.0
7287,after sanction tillerson may find russia talk an uphill climb,1.0
9198,factbox trump on twitter april 18 obama administration interview,1.0
6095,schumer call on trump to appoint official to oversee puerto rico relief,1.0
6917,trump rebuke south korea after north korean bomb test,1.0
134,a reminder of how much the nra ha spent on trump in wake of another mass shooting,0.0
776,trump whine incoherently about russian witch hunt and the internet laugh at him tweet,0.0
8644,trump asked two top intelligence official to deny russia collusion washington post,1.0
6586,trump aide greenblatt returning to israel for peace talk official,1.0
5572,u s congress member decry ethnic cleansing in myanmar suu kyi doubt allegation,1.0
1787,breaking trump is playing with fire and he just brought u one step closer to nuclear war,0.0
8986,trump sign executive order to modernize u s government info tech,1.0
4223,trump is trying to muzzle his sexual assault victim in the most ludicrous way imaginable,0.0
4452,sean hannity get chewed out by fox news for citing fake poll to support trump,0.0
9909,white house proposes reviving yucca mountain nuclear waste site,1.0
5715,u s senate confirms top epa air quality official despite concern,1.0
6059,stricter missouri abortion rule take effect after legal fight,1.0
5280,trump administration side against union in high court fee case,1.0
347,global survey humiliates trump after he claim world leader loved everything he said at united nation,0.0
2416,trump is actively working to rip family away from military member,0.0
2682,alec baldwin return to snl to blast trump s humiliatingly terrible call with world leader video,0.0
4794,what trump want to do to your child would break the law,0.0
8443,german industry say trump s climate pact pull out harm global economy,1.0
9561,lockheed martin win 1 6 billion u s defense contract pentagon,1.0
5981,fcc medium rule rollback could usher in tv station buying spree,1.0
7703,u s house speaker urge senate to pas something on healthcare,1.0
6905,ship traffic could resume tuesday at port arthur texas u s coast guard,1.0
8544,in shakeup trump to set up war room to repel attack over russia probe,1.0
5459,factbox trump on twitter november 29 matt lauer north korea tax cut,1.0
9555,u s diplomatic delay trump agenda snarl italy s g7 agenda,1.0
8731,factbox ex fbi director mueller draw praise a special counsel on russia probe,1.0
2323,hypocrite jeff session own word on perjury just came back to bite him on the as,0.0
4348,fact donald trump s education plan would mass fire teacher and decimate pell grant,0.0
2606,watch bill maher brutally explains to a trump fan why he won t give trump a chance,0.0
6693,cbo say will not specify insurance impact of republican healthcare bill next week,1.0
7106,what were ex trump adviser bannon s policy win and loss,1.0
8151,trump likely to nominate former senate aide peirce for sec bloomberg,1.0
5454,trump criticized in britain and u s for sharing anti muslim video,1.0
4843,house conservative planning to end paul ryan you got to stab somebody,0.0
3290,climate change denier get a perfect new name from dan rather that applies to trump supporter,0.0
2512,whiner in chief fake medium is being mean to wonderful michael flynn video,0.0
7071,russia think trump s new afghan strategy will not bring benefit ifax,1.0
6962,u s government may provide up to 80 billion in harvey aid texas congressman,1.0
8697,for trump s defender white house turmoil is politics a usual,1.0
7347,russia may impose counter measure on u s after new sanction foreign ministry,1.0
5921,house budget committee chair tax bill to be released early thursday,1.0
1295,ivanka trump get railed for daring to claim she support lgbtq community while her bigoted dad is in office,0.0
147,sarah huckabee sander shredded by l a time for truth twisting this is brilliant,0.0
5563,at t lawyer say u s effort to stop time warner deal foolish cnbc,1.0
8665,trump s chief of staff priebus to head back to dc after saudi stop,1.0
7889,the trump economy in seven chart,1.0
6492,mccain introduces bill to kill puerto rico shipping restriction,1.0
1842,trump build helipad at mar a lago so he can avoid protester while golfing each weekend,0.0
6938,huntington ingalls win 2 8 billion u s defense contract pentagon,1.0
9981,republican obamacare repeal would benefit wealthiest study,1.0
9077,trump to meet australian pm relation strained over asylum seeker,1.0
7171,factbox trump on twitter august 15 luther strange manufacturing council,1.0
3591,anderson cooper demand answer after trump s huge mistake with taiwan,0.0
8457,britain disappointed with trump s climate move,1.0
5194,tillerson seek to ease skepticism about u s state department reorganization,1.0
9028,trump adviser likely to meet in may on paris climate pact,1.0
6308,trump pick lockheed executive rood for top pentagon policy post,1.0
533,even after charlottesville if you hit protester with a car republican want to protect you,0.0
6163,republican senator hatch reject bipartisan healthcare deal,1.0
9481,sec s foreign corruption unit chief to leave by month s end,1.0
3182,house republican pave way for rampant corruption under trump by gutting independent ethic panel,0.0
1958,trump official accidentally leak plan to steal land from mexico for border wall,0.0
2571,jk rowling is absolutely destroying pier morgan for being a sniveling trump groveler tweet,0.0
9936,skeptical lawmaker pressure comey on trump wiretap claim,1.0
4255,watch the view unanimously rip trump a new one for groping comment and it s amazing,0.0
9314,u s lawmaker raise doubt on sale of smart bomb to saudi arabia,1.0
4345,atlantic s endorsement slam trump indicts him a one of the most dangerous candidate ever,0.0
6552,trump urge nfl to ban player kneeling during anthem,1.0
6729,trump say violence by anti fascist prof him right on charlottesville,1.0
4352,trump literally turned this school s pep rally to a white pride rally video,0.0
43,trump just admitted he knew flynn lied to the fbi before he asked comey to drop the investigation,0.0
9692,with healthcare bill dead republican turn to tax,1.0
6362,trump say giving peace a chance before u s embassy move to jerusalem interview,1.0
1196,trump humiliated at the beach this weekend with hilarious flying banner,0.0
2307,trump feel the fury of twitter after comparing himself to nixon while attacking obama tweet,0.0
6273,mnuchin say will take on orderly liquidation after fsoc report,1.0
8088,draft senate healthcare bill would link subsidy to income washington post,1.0
750,wapo trump planning to go around senate to replace session with a loyal stooge,0.0
2441,the anne frank center just torched trump for pathetic and late condemnation of anti semitism,0.0
6760,trump want to work with schumer pelosi on tax reform white house,1.0
979,fox news say health insurance doesn t matter cause we re all going to die anyway,0.0
5272,exclusive u s regulator offer congress olive branch on loan,1.0
3670,vicious trump fan send bloodcurdling threat to california mosque in boldest move yet,0.0
9214,penny say south korea u s free trade agreement to be reviewed reformed,1.0
7047,house speaker ryan say u s government shutdown unnecessary,1.0
743,she might be the last decent republican in america and this audio from a hot mic prof it,0.0
6486,senate confirms huntsman a ambassador to russia,1.0
388,texas trump fan threatened to whip black man like the slave you are before executing him,0.0
7707,u s house panel to consider self driving car legislation,1.0
1817,stephen king tweet ultimate sean spicer insult that is pretty goddamn funny tweet,0.0
2413,ivanka trump tweeted about religious tolerance and got her hypocritical a handed to her,0.0
8265,after sowing doubt trump back nato mutual defense under charter,1.0
1578,stephen colbert made a joke about trump and now the government is investigating him,0.0
3652,white trump supporter explodes in store after black employee offer her a bag video,0.0
8786,u s senate number two democrat call trump s conduct dangerous,1.0
7569,trump to study tougher russia sanction bill white house,1.0
9384,germany say u s informed it of missile strike shortly before launch,1.0
7708,u s make lower trade deficit top priority in nafta talk,1.0
5176,schumer delay tax overhaul vote until new alabama senator seated,1.0
8296,montana congressman elect to be sentenced for altercation with reporter,1.0
4172,did mike penny use the police to illegally suppress the vote of ten of thousand of black people in indiana,0.0
5518,senator franken on groping allegation vow this will not happen again,1.0
2744,watch jon stewart join colbert to humiliate trump for issuing tyrannical executive order,0.0
8257,puerto rico vote in favor of u s statehood amid low turnout,1.0
8063,factbox how senate house obamacare overhaul bill compare,1.0
4478,bill maher s debatenight live tweetstorm wa the most glorious trump takedown ever,0.0
4875,trump campaign ceo didn t want his kid in school with a bunch of whiny jew,0.0
1715,trump demotes career state department official after breitbart question her loyalty to america,0.0
1302,pittsburgh mayor slap trump down for using pittsburgh a a reason to destroy the planet,0.0
5652,gala glitz mask asia s tension a trump wind up tour,1.0
2929,trump s divisive and negative inaugural address wa full of lie and most american trashed it,0.0
2829,trump considering incredibly ironic choice for vatican ambassadorship detail,0.0
1099,obama show trump what a classy father s day message look like after trump s twitter meltdown,0.0
9378,syrian presidency vow to step up campaign against militant,1.0
7747,trump asks supreme court to block travel ban ruling,1.0
37,donald trump s eating habit could be dramatically affecting his wellbeing and our safety,0.0
926,wh start condensing intel briefing into tweet form in desperate move to get trump to read them,0.0
3149,racist disgustingly attack and blame president obama for torture of white disabled man,0.0
470,georgia republican threatens to disappear democrat over monument to slavery,0.0
3494,watch trump supporter get totally crushed by robert reich for defending anti labor cabinet pick,0.0
695,gop congress just delivered trump the biggest insult possible they are completely ignoring him,0.0
4672,wikileaks admits to screwing up immensely with twitter poll on hillary s health,0.0
4342,breaking secret gop poll show trump in total collapse congressional candidate fear wipeout,0.0
6039,manhattan u s attorney add to probe of ex trump aide manafort report,1.0
8678,trump nominates callista gingrich a ambassador to vatican,1.0
3207,trump attempt new year s eve do over tweet and get crushed by american he called enemy,0.0
6031,trump decline to say if he will visit korean dmz on asia trip,1.0
2651,while you were distracted republican gutted worker right in yet another state detail,0.0
3738,report trump talking to fox news birther for administration job,0.0
1157,whoa russian hacked voting system in 39 state,0.0
3066,seth meyers hilariously tell the news medium how they should do their job and he s right video,0.0
3489,new poll show how batsh crazy trump fan are give them a brutal reality check image,0.0
4519,seahawks richard sherman drop the mic on those who ignore police brutality video,0.0
5423,senate ethic committee open probe of senator franken,1.0
8125,supreme court to hear major case on political boundary,1.0
2701,over 40 percent of america support impeaching donald trump,0.0
7929,trump call for firm response to north korea target seoul on trade,1.0
4004,newt gingrich unwittingly make startling prediction for 2020 before this election even happens,0.0
5119,trump administration ban selected word at health agency paper,1.0
5079,trump aide hope win on tax will stem slide in poll number,1.0
164,how sh tty of a birthday must ivanka trump be having,0.0
3185,the internet obliterates trump after he whine about a photo of him cnn used tweet,0.0
7874,merkel say meeting with erdogan underscored deep difference,1.0
1421,child will suffer trumpcare would cut 46b in healthcare fund for kid,0.0
2659,kellyanne lied when she said she said she misspoke about bowling green massacre here s proof,0.0
6801,u senate may vote this week to add penalty for sex traffic site source,1.0
2316,trump s lost his damn mind making ridiculous demand of pelosi her response is perfect tweet,0.0
7718,u s appeal court upholds gag order on fbi data surveillance,1.0
816,trump get brutally reminded of the sh tty way he treated mccain after releasing pathetic statement,0.0
1074,this powerful campaign ad announces a serious challenge to paul ryan s house seat video,0.0
3912,breaking dir comey just crushed the gop s fantasy of endless clinton investigation tweet,0.0
3294,trump tell morning joe he actually plan to start a nuclear arm race video,0.0
2632,doj lawyer literally argued that trump is above the law and untouchable by any court audio,0.0
3169,hot mic catch joe biden revealing his after vp plan just a amazing a we thought detail,0.0
6197,trump likely to name fed chair by early november source,1.0
259,the senate banking committee held an equifax hearing and the monopoly man showed up,0.0
297,high school start caving to trump will punish athlete who won t stand for national anthem,0.0
775,retired colonel blast trump s amateur demand that navy sailor support gop legislation video,0.0
1378,alt right enemy list leaked fascist use petition to steal data and harass activist,0.0
3033,comedian take subway riding with fake book to hilarious new level destroys trump video,0.0
6844,trump say open to repeal of debt ceiling it complicates thing,1.0
4636,republican candidate get caught calling for lynching president obama,0.0
3910,trump fan start screaming wikileaks in pathetic attempt to link trump s assassin to hillary,0.0
8474,germany s merkel say paris climate accord is an essential pact,1.0
4194,donald trump on accusation of sexual assault mexico did it,0.0
7555,kushner interviewed by house intelligence panel,1.0
389,white supremacist marine kicked out of the corp after being busted doing nazi stuff,0.0
4273,nyt fact checked donald in real time and it wa glorious,0.0
1300,wh aide trump decided to break paris deal after french president s handshake embarrassed him,0.0
8178,white house doe not yet have plan on debt limit budget chief,1.0
3877,lindsey graham sends a final f you to trump a he announces who he voted for tweet,0.0
523,thousand of advertiser are fleeing from fake news site breitbart,0.0
9581,trump tax proposal would mostly benefit new york s wealthy report,1.0
9072,justice department antitrust nominee makan delrahim s hearing delayed,1.0
7674,minnesota governor s veto of legislative funding voided by judge,1.0
4391,breaking wikileaks big anti hillary october surprise cancelled,0.0
9971,white house working with lawmaker on amending republican health bill,1.0
9503,new york pass emergency spending plan to avoid shutdown,1.0
2623,watch ted cruz claim democrat are the party of the kkk and get instantly owned with fact,0.0
3085,trump just told his most insane inauguration lie yet and is getting torn apart for it tweet,0.0
5114,republican confident tax bill to become law this week,1.0
